Código,Nome,Nome (Inglês),Nome Científico,Grupo,Marca
C0001C,"Abacate, polpa, in natura","Avocado, pulp, raw",Persea americana Mill,Frutas e derivados,
C0195C,"Abacaxi, cozido, caramelado","Pineapple, cooked, caramelized",,Frutas e derivados,
C0054C,"Abacaxi, polpa, congelada","Pineapple, pulp, frozen",Ananas comosus L.,Frutas e derivados,
C0264C,"Abacaxi, polpa, desidratada","Pineapple, pulp, dehydrated",Ananas comosus,Frutas e derivados,
C0218C,"Abacaxi, polpa, grelhado, c/ canela","Pineapple, pulp, grilled, with cinnamon",,Frutas e derivados,
C0002C,"Abacaxi, polpa, in natura","Pineapple, pulp, raw",Ananas comosus L.,Frutas e derivados,
C0069C,"Abiu, in natura","Brazilian fruit,´Abiu´, raw",Lucuma caimito (Ruiz & Pav.) Roem & Schult,Frutas e derivados,
C0680B,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal","Pumpkin, squash, cabotian, with okra, braised (with oil, onion and garlic, with salt",,Vegetais e derivados,
C0059B,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal","Pumpkin, Squash, cabotian (japonesa), peeled, boiled, drained, without oil, unsalted",Cucurbita maxima x,Vegetais e derivados,
C0002B,"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua","Pumpkin, squash, cabotian (japonesa), peeled, seedless, raw",Cucurbita maxima x,Vegetais e derivados,
C0003B,"Abóbora, menina brasileira, s/ casca, s/ sementes, crua","Pumpkin, squash, peeled, seedless, raw",Cucurbita moschata,Vegetais e derivados,
C0151B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal","Pumpkin, squash, braised (with oil, onion and garlic), with salt",,Vegetais e derivados,
C0101B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal","Pumpkin, squash, braised (with oil, onion and garlic), without salt",Cucurbita maxima,Vegetais e derivados,
C0270B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal","Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, with salt",Curcubita spp.,Vegetais e derivados,
C0269B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal","Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, unsalted",Curcubita spp.,Vegetais e derivados,
C0355B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal","Pumpkin, squash, peeled, seedless, roasted, without oil, with salt",,Vegetais e derivados,
C0354B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal","Pumpkin, squash, peeled, seedless, roasted, without oil, unsalted",,Vegetais e derivados,
C0226B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, with salt",,Vegetais e derivados,
C0225B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, unsalted",,Vegetais e derivados,
C0166B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, without oil, with salt",,Vegetais e derivados,
C0165B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal","Pumpkin, squash, peeled, seedless, cooked, drained, without oil, unsalted",,Vegetais e derivados,
C0004B,"Abóbora, moranga, s/ casca, s/ sementes, crua","Pumpkin, squash, peeled, seedless, raw",Curcubita spp.,Vegetais e derivados,
C0064B,"Abóbora, paulista, crua","Pumpkin, Squash, raw",Cucurbita maxima Duchesne,Vegetais e derivados,
C0228B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, with salt",,Vegetais e derivados,
C0227B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal","Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, unsalted",,Vegetais e derivados,
C0005B,"Abóbora, pescoço, s/ casca, s/ sementes, crua","Pumpkin, squash, winter, peeled, seedless, raw",Cucurbita moschata,Vegetais e derivados,
C0001B,"Abóbora, s/ casca, s/ sementes, crua","Pumpkin, squash, peeled, seedless, raw",Curcubita spp.,Vegetais e derivados,
C0725B,"Abobrinha recheada, c/ sal","Stuffed zucchini, with salt",,Vegetais e derivados,
C0266B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal","Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, whit salt",,Vegetais e derivados,
C0265B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal","Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, unsalted",,Vegetais e derivados,
C0232B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal","Squash, Zucchini, unpeeled, cooked, drained, with soy oil, with salt",,Vegetais e derivados,
C0231B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal","Squash, Zucchini, unpeeled, cooked, drained, with soy oil, unsalted",,Vegetais e derivados,
C0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal","Squash, Zucchini, unpeeled, cooked, drained, without soy oil, with salt",,Vegetais e derivados,
C0040B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal","Squash, Zucchini, unpeeled, boiled, drained, without oil, unsalted",Curcubita pepo L.,Vegetais e derivados,
C0006B,"Abobrinha, italiana, c/ casca, crua","Squash, Zucchini, Italian, unpeeled, raw",Cucurbita pepo L.,Vegetais e derivados,
C0264B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal","Squash, Zucchini, unpeeled, grilled, without soy oil, with salt",,Vegetais e derivados,
C0263B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal","Squash, Zucchini, unpeeled, grilled, without soy oil, unsalted",,Vegetais e derivados,
C0153B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal","Squash, Zucchini, unpeeled braised (with oil, onion and garlic), with salt",,Vegetais e derivados,
C0104B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal","Zucchini, squash, braised (with oil, onion and garlic), unsalted",Curcubita pepo L.,Vegetais e derivados,
C0800B,"Açafrão, pistilo, in natura","Saffron, pistil, raw",Crocus sativus,Vegetais e derivados,
C0003C,"Açaí, polpa (média de amostras)","Brazilian fruit, ´açai´, pulp",Euterpe oleracea Mart.,Frutas e derivados,
C0201C,"Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa","Brazilian fruit ´açaí´, pulp, with guarana syrup and brazilian fruit ´cupuaçu´, pulp",,Frutas e derivados,
C0177C,"Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira","Brazilian fruit ´açaí´, pulp, with guarana syrup, with homemade granola (",,Frutas e derivados,
C0095C,"Açaí, polpa, com xarope de guaraná e glucose","Brazilian fruit ´açaí´, pulp, with guarana and glucose syrup",,Frutas e derivados,
C0185C,"Açaí, solteiro, polpa","Brazilian fruit, ´açaí, solteiro´, pulp",,Frutas e derivados,
C0203T,"Acarajé, c/ sal","Brazilian recipe, with black eye bean and dried shrimp, with salt",,Leguminosas e derivados,
C0061T,"Acarajé, s/ sal","Brazilian recipe, with black eye bean and dried shrimp, unsalted",,Leguminosas e derivados,
C0212B,"Acelga, cozida, drenada, s/ óleo, c/ sal","Chard, boiled, drained, with oil, with salt",,Vegetais e derivados,
C0211B,"Acelga, cozida, drenada, s/ óleo, s/ sal","Chard, boiled, drained, without oil, unsalted",,Vegetais e derivados,
C0007B,"Acelga, crua","Chard, raw",,Vegetais e derivados,
C0202B,"Acelga, refogada (c/ óleo, cebola e alho), c/ sal","Chard, braised (with oil, onion and garlic), with salt",,Vegetais e derivados,
C0201B,"Acelga, refogada, (c/ óleo, cebola e alho), s/ sal","Chard, braised (with oil, onion and garlic), unsalted",,Vegetais e derivados,
C0004C,"Acerola, madura, polpa","Brazilian fruit, ´acerola´, mature, pulp",Malpighia spp.,Frutas e derivados,
C0129K,"Achocolatado, ""Ovomaltine""",Chocolate powder,,Produtos açucarados,Ovomaltine
C0002K,"Achocolatado, em pó",Chocolate powder,,Produtos açucarados,Nescau
C0003K,"Achocolatado, em pó",Chocolate powder,,Produtos açucarados,Toddy
C0001K,"Achocolatado, em pó (média diferentes amostras)",Chocolate powder (average of several samples),,Produtos açucarados,
C0101N,"Achocolatado, em pó, sem adição de açúcar","Cocoa, dry mix, without sugar",,Alimentos para fins especiais,
C0004K,Açúcar (média de diferentes tipos),Sugar (mean of the different types),,Produtos açucarados,
C0005K,"Açúcar, cristal","Sugar, granulated",,Produtos açucarados,
C0006K,"Açúcar, mascavo","Sugar, brown",,Produtos açucarados,
C0007K,"Açúcar, refinado (média de diferentes amostras)",Sugar powered (mean of the several samples),,Produtos açucarados,
C0090N,"Adoçante, aspartame, em pó","Sweeteners, aspartame, powder",,Alimentos para fins especiais,
C0042N,"Adoçante, sacarina, em pó","Sweeteners, saccharin, powder",,Alimentos para fins especiais,
C0056N,"Adoçante, sucralose, em pó","Sweeteners, sucralose, powder",,Alimentos para fins especiais,
C0220B,"Agrião, cozido, drenado, c/ óleo de soja, c/ sal","Watercress, boiled, drained, with soy oil, with salt",,Vegetais e derivados,
C0219B,"Agrião, cozido, drenado, c/ óleo de soja, s/ sal","Watercress, boiled, drained, with soy oil, unsalted",,Vegetais e derivados,
C0914B,"Agrião, cozido, drenado, s/ óleo, c/ sal","Watercress, cooked, drained, whitout oil, whit salt",,Vegetais e derivados,
C0162B,"Agrião, cozido, drenado, s/ óleo, s/ sal","Watercress, boiled, drained, without oil, unsalted",,Vegetais e derivados,
C0008B,"Agrião, cru","Watercress, raw",Nasturtium officinale,Vegetais e derivados,
C0214B,"Aipo (salsão), cozido, drenado, s/ óleo, c/ sal","Celery, boiled, drained, without oil, with salt",,Vegetais e derivados,
C0213B,"Aipo (salsão), cozido, drenado, s/ óleo, s/ sal","Celery, boiled, drained, without oil, unsalted",,Vegetais e derivados,
C0065B,"Aipo (salsão), cru","Celery, raw",Apium graveolens L.,Vegetais e derivados,
C0216B,"Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal","Celery, braised (with oil, onion and garlic), with salt",,Vegetais e derivados,
C0215B,"Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal","Celery, braised (with oil, onion and garlic), unsalted",,Vegetais e derivados,
C0915B,"Alcachofra, cozida, drenada, s/ óleo, c/ sal","Artichokes, cooked, drained, without oil, with salt",Cynara scolymus,Vegetais e derivados,
C0460B,"Alcachofra, cozida, drenada, s/ sal","Artichokes, cooked, drained, without salt",Cynara scolymus,Vegetais e derivados,
C0703B,"Alcaparra, conserva","Capers, canned",Capparis spinosa,Vegetais e derivados,
C0824B,"Alecrim, seco","Rosemary, dried",Rosmarinus officinalis,Vegetais e derivados,
C0063B,"Alface, americana, crua","Lettuce, Iceberg (crisphead), raw",Lactuca sativa L.,Vegetais e derivados,
C0060B,"Alface, crespa, crua","Lettuce, crinkly, raw",Lactuca sativa L.,Vegetais e derivados,
C0009B,"Alface, crua","Lettuce, raw",Lactuca sativa L.,Vegetais e derivados,
C0061B,"Alface, lisa, crua","Lettuce, butterhead, raw",Lactuca sativa L.,Vegetais e derivados,
C0062B,"Alface, roxa, crua","Lettuce, Lollo rossa, raw",Lactuca sativa L.,Vegetais e derivados,
C0067B,"Alfavaca, crua","Basil, ´Alfavaca´, raw",Ocimum basilicum L.,Vegetais e derivados,
C1061B,"Alga, ágar ágar, em pó","Seaweed, agar agar, powder",,Vegetais e derivados,
C0115B,"Alho, cozido, s/ óleo, s/ sal","Garlic, cooked, without oil, unsalted",,Vegetais e derivados,
C0010B,"Alho, cru","Garlic, raw",Allium sativum L.,Vegetais e derivados,
C1074B,"Alho, em pó","Garlic, powder",Allium sativum L.,Vegetais e derivados,
C0113B,"Alho, refogado (c/ óleo de soja), s/ sal","Garlic, braised (wiht soy oil), unsalted",,Vegetais e derivados,
C0714B,"Alho-poró, cozido, drenado, s/ óleo, s/ sal","Leek, cooked, drained, without oil, unsalted",Allium ampeloprasum L. var. porrum,Vegetais e derivados,
C0068B,"Alho-poró, cru","Leek, raw",Allium ampeloprasum L. var. porrum,Vegetais e derivados,
C0210B,"Almeirão, cozido, drenado, s/ óleo, c/ sal","Chicory greens, cooked, without oil, with salt",,Vegetais e derivados,
C0209B,"Almeirão, cozido, drenado, s/ óleo, s/ sal","Chicory greens, cooked, without oil, unsalted",,Vegetais e derivados,
C0011B,"Almeirão, cru","Chicory greens, raw",Cichorium intybus,Vegetais e derivados,
C0149B,"Almeirão, refogado (c/ óleo, cebola e alho), c/ sal","Chicory greens, braised (with oil, onion and garlic), with salt",,Vegetais e derivados,
C0105B,"Almeirão, refogado (c/ óleo, cebola e alho), s/ sal","Chicory greens, braised (with oil, onion and garlic), unsalted",Cichorium intybus,Vegetais e derivados,
C0206T,"Almôndega de soja, assada, c/ molho de tomate, c/ sal","Soy meatball, roasted, with tomato sauce, with salt",,Leguminosas e derivados,
C0205T,"Almôndega de soja, assada, c/ sal","Soy meatball, roasted, with salt",,Leguminosas e derivados,
C0204T,"Almôndega de soja, assada, s/ sal","Soy meatball, roasted, unsalted",,Leguminosas e derivados,
C0887F,"Almôndega, ao sugo (molho de tomate)","Meatballs, with tomato sauce",,Carnes e derivados,
C0990F,"Almôndega, carne bovina, grelhada, caseira, c/ sal","Meatballs, beef, grilled, homemade, with salt",,Carnes e derivados,
C0991F,"Almôndega, carne bovina, grelhada, caseira, s/ sal","Meatballs, beef, grilled, homemade, without salt",,Carnes e derivados,
C0002F,"Almôndega, carne, ave, industrializada, crua, c/ sal","Meatballs, poultry, raw, induztrialized, with salt",,Carnes e derivados,
C0003F,"Almôndega, carne, boi, crua, c/ sal","Meatballs, beef, raw, with salt",,Carnes e derivados,Sadia
C0001F,"Almôndega, carne, boi, industrializada, crua, c/ sal","Meatballs, beef, raw, induztrialized, with salt",,Carnes e derivados,
C0004F,"Almôndega, carne, boi, industrializada, frita, c/ sal","Meatballs, beef, industrialized, fried in oil, with salt",,Carnes e derivados,
C0005F,"Almôndega, carne, frango, crua, c/ sal","Meaballs, poultry, raw, with salt",,Carnes e derivados,Sadia
C0401A,"Amaranto, grão, cozido, s/ óleo, s/ sal","Amaranthus, grain, cooked, without oil and salt",Amaranthus cruentus L.,Cereais e derivados,
